task name,duplicated input ratio,ablation filter ratio,input length constrain ratio,accuracy
task036,10.0,17.0,0.0,0.5304844684633068
task039,3.5000000000000004,1.0,0.0,0.3673727987986201
task121,4.5,0.5,0.0,0.6562788700481382
task281,0.0,4.0,0.0,0.5225493328499654
task1195,40.0,3.0,0.0,0.835949554503762
task1345,1.5,0.5,0.0,0.5319900875955518
task1562,16.0,0.0,0.0,0.6696309617446069
task1622,25.0,0.5,0.0,0.8040998425065798
